nome,duplicado_geral,duplicado_raiz,quantidade_geral,quantidade_raiz,licenca_SPDX,license_score_geral,license_score_raiz,licencas_compativeis_geral,licencas_compativeis_raiz,licencas_readme,licencas_packageJson,licencas_license,licencas_outros_arquivos,licencas_fora_da_raiz,numero_linhas
/[freeCodeCamp]freeCodeCamp/,True,True,18,4,14,5.0,16.0,False,False,4,0,1,0,18,621435
/[twbs]bootstrap/,True,True,5,2,4,16.0,27.0,False,False,2,1,1,1,5,84566
/[d3]d3/,False,False,1,1,1,22.0,22.0,True,True,0,1,1,0,0,2414
/[facebook]react/,True,True,4,2,3,11.0,11.0,False,True,1,0,1,2,3,252990
/[angular]angular.js/,True,True,10,2,9,16.0,22.0,False,False,0,1,1,1,10,260805
/[getify]You-Dont-Know-JS/,True,True,3,3,2,5.0,5.0,False,False,2,0,1,0,0,116
/[airbnb]javascript/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,6622
/[facebook]react-native/,True,True,5,4,3,22.0,22.0,False,False,1,1,2,3,3,411350
/[jquery]jquery/,True,True,5,2,3,16.0,16.0,False,False,0,1,1,2,4,39125
/[vuejs]vue/,True,False,4,1,4,16.0,100.0,False,True,1,1,1,1,4,141624
/[meteor]meteor/,True,True,48,2,33,5.0,62.07,False,False,0,0,1,1,48,238840
/[h5bp]html5-boilerplate/,False,False,1,1,1,60.0,100.0,True,True,1,1,1,1,1,11335
/[hakimel]reveal.js/,True,False,6,1,4,11.0,100.0,False,True,1,1,1,1,6,24638
/[Semantic-Org]Semantic-UI/,True,False,4,1,4,27.0,100.0,True,True,0,1,1,1,4,162804
/[nodejs]node/,True,True,252,17,225,5.0,11.0,False,False,0,0,16,1,252,5695698
/[impress]impress.js/,True,True,4,2,3,20.0,20.0,False,False,1,1,1,2,3,14813
/[mrdoob]three.js/,True,False,27,1,22,5.0,99.39,False,True,0,1,1,0,27,400042
/[socketio]socket.io/,True,False,2,1,2,95.0,100.0,True,True,1,1,1,0,2,179705
/[moment]moment/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,1,167832
/[expressjs]express/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,1,18137
/[chartjs]Chart.js/,True,False,2,1,2,15.38,100.0,False,True,1,1,1,1,2,66846
/[reactjs]redux/,True,True,7,7,5,9.24,9.24,False,False,1,1,7,0,3,175278
/[adobe]brackets/,True,True,44,33,32,5.0,5.0,False,False,0,1,1,33,22,389947
/[resume]resume.github.com/,False,True,1,0,1,99.0,100.0,True,True,0,0,0,0,1,1176
/[NARKOZ]hacker-scripts/,False,False,1,1,1,50.0,50.0,False,False,1,0,0,0,0,1616
/[jashkenas]backbone/,True,False,5,1,4,50.0,100.0,False,True,0,1,1,1,5,29656
/[blueimp]jQuery-File-Upload/,True,True,4,2,3,11.0,72.73,False,True,1,1,1,2,3,26800
/[gulpjs]gulp/,True,False,3,1,2,50.0,100.0,False,True,0,1,1,0,2,4958
/[zurb]foundation-sites/,True,False,5,1,4,6.43,100.0,False,True,0,1,1,1,5,149665
/[Dogfalo]materialize/,True,False,2,1,2,16.0,100.0,True,True,1,1,1,1,2,62174
/[webpack]webpack/,True,True,3,2,2,5.0,16.0,False,False,0,1,1,1,2,104478
/[callemall]material-ui/,True,True,5,2,4,16.0,44.27,False,True,2,0,1,1,4,262545
/[yarnpkg]yarn/,True,False,12,1,9,5.0,16.0,False,True,0,1,1,0,12,48176
/[TryGhost]Ghost/,True,False,2,1,1,97.03,100.0,False,True,1,1,1,0,2,110446
/[nylas]N1/,True,True,14,2,10,2.15,100.0,False,False,0,1,1,0,14,136990
/[lodash]lodash/,True,True,3,2,2,16.0,100.0,False,False,1,1,2,0,1,29706
/[caolan]async/,True,False,6,1,3,6.43,100.0,False,True,0,1,1,0,6,77604
/[jashkenas]underscore/,True,False,2,1,2,50.0,100.0,True,True,0,1,1,1,2,21591
/[tastejs]todomvc/,True,False,20,1,12,6.58,98.79,False,True,1,0,1,1,20,1247858
/[Modernizr]Modernizr/,True,True,13,3,11,5.0,16.0,False,False,1,1,0,3,11,20415
/[babel]babel/,True,False,4,1,3,86.96,100.0,False,True,1,1,1,1,4,712686
/[select2]select2/,True,False,5,1,5,44.0,100.0,False,True,0,1,1,1,5,64747
/[facebookincubator]create-react-app/,True,False,7,1,4,16.0,100.0,False,True,0,0,1,0,7,21953
/[ReactTraining]react-router/,True,False,3,1,2,90.0,100.0,False,True,0,0,1,0,3,15000
/[typicode]json-server/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,15878
/[emberjs]ember.js/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,127775
/[alvarotrigo]fullPage.js/,True,True,12,3,11,5.0,16.0,False,False,3,1,1,1,12,20632
/[Leaflet]Leaflet/,True,True,9,3,6,11.0,16.0,False,False,0,1,1,3,9,242138
/[kenwheeler]slick/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,0,3352
/[adam-p]markdown-here/,True,True,8,5,5,11.0,11.0,False,False,3,0,1,4,5,30180
/[Unitech]pm2/,True,True,8,5,8,52.17,52.17,False,False,4,1,1,2,5,33116
/[facebook]immutable-js/,True,False,2,1,1,22.0,100.0,False,True,1,1,1,0,2,31263
/[mozilla]pdf.js/,True,False,14,1,13,16.0,27.0,False,True,0,1,1,1,14,103430
/[balderdashy]sails/,False,False,1,1,1,42.42,100.0,True,True,1,1,1,0,1,26455
